disease_norm_id	disease_name	disease_norm_name	data_source
MESH:C531604	"visual loss"	"Primary visual agnosia"	MESH
MESH:C531673	"intracranial pediatric ependymomas."	"Familial ependymoma"	MESH
MESH:C531673	"pediatric intracranial ependymomas."	"Familial ependymoma"	MESH
MESH:C535500	"childhood malignancies"	"Epileptic encephalopathy, Lennox-Gastaut type"	MESH
MESH:C535575	HNSCC	"Carcinoma, squamous cell of head and neck"	MESH
MESH:C535575	HNSCC)	"Carcinoma, squamous cell of head and neck"	MESH
MESH:C535575	HNSCC,	"Carcinoma, squamous cell of head and neck"	MESH
MESH:C535575	HNSCC.	"Carcinoma, squamous cell of head and neck"	MESH
MESH:C535575	"neck squamous cell carcinoma"	"Carcinoma, squamous cell of head and neck"	MESH
MESH:C535575	"neck squamous cell carcinomas"	"Carcinoma, squamous cell of head and neck"	MESH
MESH:C535575	"neck squamous cell carcinomas."	"Carcinoma, squamous cell of head and neck"	MESH
MESH:C535727	hepatosplenomegaly,	"Dykes Markes Harper syndrome"	MESH
MESH:C535759	EA	"Congenital myasthenic syndrome with episodic apnea"	MESH
MESH:C535759	EA)	"Congenital myasthenic syndrome with episodic apnea"	MESH
MESH:C535759	EA-	"Congenital myasthenic syndrome with episodic apnea"	MESH
MESH:C535764	gonadotropins	"Eunuchoidism, familial hypogonadotropic"	MESH
MESH:C536078	HSAS	"Hydrocephalus, X-linked"	MESH
MESH:C536078	HSAS)	"Hydrocephalus, X-linked"	MESH
MESH:C536078	"X-linked hydrocephalus"	"Hydrocephalus, X-linked"	MESH
MESH:C536106	"cardiomyocyte hypertrophy"	"Myostatin-related muscle hypertrophy"	MESH
MESH:C536106	"clitoris hypertrophy"	"Myostatin-related muscle hypertrophy"	MESH
MESH:C536106	hypertrophy	"Myostatin-related muscle hypertrophy"	MESH
MESH:C536106	hypertrophy,	"Myostatin-related muscle hypertrophy"	MESH
MESH:C536106	hypertrophy.	"Myostatin-related muscle hypertrophy"	MESH
MESH:C536233	"blepharophimosis-ptosis-epicanthus inversus"	"Blepharophimosis syndrome type 1"	MESH
MESH:C536233	"blepharophimosis-ptosis-epicanthus inversus syndrome"	"Blepharophimosis syndrome type 1"	MESH
MESH:C536233	BPES	"Blepharophimosis syndrome type 1"	MESH
MESH:C536233	"BPES type II"	"Blepharophimosis syndrome type 1"	MESH
MESH:C536233	"BPES type II the eyelid defect"	"Blepharophimosis syndrome type 1"	MESH
MESH:C536233	"BPES type II."	"Blepharophimosis syndrome type 1"	MESH
MESH:C536233	BPES)	"Blepharophimosis syndrome type 1"	MESH
MESH:C536309	"pigment epithelium defect"	"Patterned dystrophy of retinal pigment epithelium"	MESH
MESH:C536369	"intravitreal bevacizumab for neovascular"	Angiostrongyliasis	MESH
MESH:C536503	"dysmorphic facial features,"	"Thakker Donnai syndrome"	MESH
MESH:C536633	"anomalies, midline defects"	"Schisis association"	MESH
MESH:C536656	"atrial natriuretic peptide"	"Peptide growth factors deficiency"	MESH
MESH:C536656	"atrial natriuretic peptide,"	"Peptide growth factors deficiency"	MESH
MESH:C536679	"intrinsic congenital testicular abnormality,"	"Sohval Soffer syndrome"	MESH
MESH:C536787	"Autosomal recessive spastic ataxia of Charlevoix-Saguenay"	"Spastic ataxia Charlevoix-Saguenay type"	MESH
MESH:C536912	"follicular carcinomas"	"follicular carcinomas"	MESH
MESH:C536912	"follicular carcinomas,"	"follicular carcinomas,"	MESH
MESH:C537239	"idiopathic moderate testiculopathy;"	"Mengel Konigsmark syndrome"	MESH
MESH:C537262	"hereditary pancreatitis,"	"Hereditary pancreatitis"	MESH
MESH:C537373	MRD	"Multicystic renal dysplasia, bilateral"	MESH
MESH:C537373	MRD)	"Multicystic renal dysplasia, bilateral"	MESH
MESH:C537423	"saccadic latency,"	"Apraxia, oculomotor, Cogan type"	MESH
MESH:C537500	"striatal dopaminergic function,"	"Striatonigral degeneration infantile"	MESH
MESH:C537526	"benign keratotic lesion"	Sclerotylosis	MESH
MESH:C537672	"contiguous 1q4 syndrome."	"Chromosome 1, monosomy 1q4"	MESH
MESH:C538090	"epithelial ovarian cancer"	"Ovarian epithelial cancer"	MESH
MESH:C538219	"metastatic lesions"	"metastatic lesions"	MESH
MESH:C538250	idiopathic	"Amyopathic dermatomyositis"	MESH
MESH:C538265	"attenuated amygdala"	"Attenuated familial adenomatous polyposis"	MESH
MESH:C538265	"attenuated diphtheria"	"Attenuated familial adenomatous polyposis"	MESH
MESH:C548012	"Diploid tumor"	"Diploid-Triploid Mosaicism"	MESH
MESH:D000012	ABL	Abetalipoproteinemia	MESH
MESH:D000013	"congenital abnormalities"	"Congenital Abnormalities"	MESH
MESH:D000013	"congenital abnormalities,"	"Congenital Abnormalities"	MESH
MESH:D000013	"congenital anomalies"	"Congenital Abnormalities"	MESH
MESH:D000013	"congenital anomalies."	"Congenital Abnormalities"	MESH
MESH:D000168	ACS)	Acrocephalosyndactylia	MESH
MESH:D000168	ACS,	Acrocephalosyndactylia	MESH
MESH:D000168	ACS.	Acrocephalosyndactylia	MESH
MESH:D000230	adenocarcinoma	Adenocarcinoma	MESH
MESH:D000230	adenocarcinomas)	Adenocarcinoma	MESH
MESH:D000230	"pancreatic adenocarcinoma."	Adenocarcinoma	MESH
MESH:D000230	"pancreatic adenocarcinomas,"	Adenocarcinoma	MESH
